FID,feat_code,shape_area,shape_leng,source_id,status,sub_code,centroid_x,centroid_y
18965,5000.000000000000000,108828.196089000004577,2702.789906219999921,19500001661.000000000000000,New,500000.000000000000000,-73.941534539100005,40.728643946299997
18966,5000.000000000000000,12382.346213400000124,978.640456383000014,19500001662.000000000000000,New,500000.000000000000000,-73.937155554699999,40.727888892999999
18967,5000.000000000000000,3196.823643660000016,290.511715122999988,19500001663.000000000000000,New,500000.000000000000000,-73.911312412900003,40.705412515699997
18968,5000.000000000000000,6902.741554670000369,535.493077391000043,19500001664.000000000000000,New,500000.000000000000000,-73.910748425999998,40.701446683199997
18969,5000.000000000000000,3612.810278410000137,287.363819560000024,19500001667.000000000000000,New,500000.000000000000000,-73.913559959200001,40.700209050399998
18970,5000.000000000000000,2705.336994499999946,275.854981628000019,19500001668.000000000000000,New,500000.000000000000000,-73.911421044500003,40.701165640500001
18971,5000.000000000000000,38194.419452900001488,1361.047296080000024,19500001670.000000000000000,New,500000.000000000000000,-73.921515199300003,40.723211349499998
18972,5000.000000000000000,44770.203822000003129,1306.552057930000046,19500001671.000000000000000,New,500000.000000000000000,-73.921972424000003,40.722648503800002
18973,5000.000000000000000,51096.541853299997456,1768.013952739999922,19500001672.000000000000000,New,500000.000000000000000,-73.920717451499996,40.725873786400001
18974,5000.000000000000000,3170.851765299999897,257.824671647000002,19500001749.000000000000000,New,500000.000000000000000,-73.937440540899999,40.695775273700001
18975,5000.000000000000000,90490.836633200000506,2551.792819499999950,19500001673.000000000000000,Updated,500000.000000000000000,-73.921397705800004,40.724289639200002
18976,5000.000000000000000,69988.547342699996079,1501.642668949999916,19500001674.000000000000000,New,500000.000000000000000,-73.918423210800000,40.722996959500001
